Soft Pad A,Internal A,219
Soft Pad B,Internal A,220
Soft Pad C,Internal A,221
Sop.Sax mf A,Internal A,168
Sop.Sax mf B,Internal A,169
Sop.Sax mf C,Internal A,170
Spark Vox,Internal B,22
Spectrum,Internal B,53
Steel Drums,Internal B,8
Stratus A,Internal A,84
Stratus B,Internal A,85
Stratus C,Internal A,86
Syn Bass A,Internal A,146
Syn Bass C,Internal A,147
Syn Gtr A,Internal A,102
Syn Gtr B,Internal A,103 
Syn Gtr C,Internal A,104
Syn Saw 2inv,Internal B,28
Syn Vox 1,Internal A,237
Syn Vox 2,Internal A,238
Synth Pulse1,Internal B,43
Synth Pulse2,Internal B,44
Synth Reed,Internal B,25
Synth Saw 1,Internal B,26
Synth Saw 2,Internal B,27
Synth Saw 3,Internal B,29
Synth Square,Internal B,39
Tambourine,Internal B,119
Techno Hit,Internal B,61
Tenor Sax A,Internal A,174
Tenor Sax B,Internal A,175
Tenor Sax C,Internal A,176
Timbale,Internal B,113
Timpani,Internal B,123
Tin Wave,Internal B,57
Tpt Sect. A,Internal A,184
Tpt Sect. B,Internal A,185
Tpt Sect. C,Internal A,186
Triangle,Internal B,45
Trombone 1,Internal A,196
Trumpet 1A,Internal A,187
Trumpet 1B,Internal A,188
Trumpet 1C,Internal A,189
Trumpet 2A,Internal A,190
Trumpet 2B,Internal A,191
Trumpet 2C,Internal A,192
Tubular,Internal B,7
UprightBs 1,Internal A,133
UprightBs 2A,Internal A,134
UprightBs 2B,Internal A,135
UprightBs 2C,Internal A,136
Verb Kick,Internal B,82
Verb Tom Hi,Internal B,85
Verb Tom Lo,Internal B,86
Vibes,Internal B,4
Vibraslap,Internal B,122
Violin A,Internal A,202
Violin B,Internal A,203
Violin C,Internal A,204
Voice Aahs A,Internal A,239
Voice Aahs B,Internal A,240
Voice Aahs C,Internal A,241
Voice Breath,Internal A,248
Voice Oohs1A,Internal A,242
Voice Oohs1B,Internal A,243
Voice Oohs1C,Internal A,244
Voice Oohs2A,Internal A,245
Voice Oohs2B,Internal A,246
Voice Oohs2C,Internal A,247
Vox Noise,Internal A,255
Wave Scan,Internal B,18
White Noise,Internal B,48
Wind Agogo,Internal B,51
Wind Chimes,Internal B,59
Wire String,Internal B,19
Wood Block,Internal B,104
