41,Violin,PR-D
42,Viola,PR-D
43,Cello,PR-D
44,Contrabass,PR-D
45,Tremolo Str,PR-D
46,PizzicatoStr,PR-D
47,Harp,PR-D
48,Timpani,PR-D
49,Strings,PR-D
50,Slow Strings,PR-D
51,Syn.Strings1,PR-D
52,Syn.Strings2,PR-D
53,Choir Aahs,PR-D
54,Voice Oohs,PR-D
55,SynVox,PR-D
56,OrchestraHit,PR-D
57,Trumpet,PR-D
58,Trombone,PR-D
59,Tuba,PR-D
60,MutedTrumpet,PR-D
61,French Horn,PR-D
62,Brass 1,PR-D
63,Synth Brass1,PR-D
64,Synth Brass2,PR-D
65,Soprano Sax,PR-D
66,Alto Sax,PR-D
67,Tenor Sax,PR-D
68,Baritone Sax,PR-D
69,Oboe,PR-D
70,English Horn,PR-D
71,Bassoon,PR-D
72,Clarinet,PR-D
73,Piccolo,PR-D
74,Flute,PR-D
75,Recorder,PR-D
76,Pan Flute,PR-D
77,Bottle Blow,PR-D
78,Shakuhachi,PR-D
79,Whistle,PR-D
80,Ocarina,PR-D
81,Square Wave,PR-D
82,Saw Wave,PR-D
83,Syn.Calliope,PR-D
84,Chiffer Lead,PR-D
85,Charang,PR-D
86,Solo Vox,PR-D
87,5th Saw Wave,PR-D
88,Bass & Lead,PR-D
89,Fantasia,PR-D
90,Warm Pad,PR-D
91,Polysynth,PR-D
92,Space Voice,PR-D
93,Bowed Glass,PR-D
94,Metal Pad,PR-D
95,Halo Pad,PR-D
96,Sweep Pad,PR-D
97,Ice Rain,PR-D
98,Soundtrack,PR-D
99,Crystal,PR-D
100,Atmosphere,PR-D
101,Brightness,PR-D
102,Goblin,PR-D
103,Echo Drops,PR-D
104,Star Theme,PR-D
105,Sitar,PR-D
106,Banjo,PR-D
107,Shamisen,PR-D
108,Koto,PR-D
109,Kalimba,PR-D
110,Bag Pipe,PR-D
111,Fiddle,PR-D
112,Shanai,PR-D
113,Tinkle Bell,PR-D
114,Agogo,PR-D
115,Steel Drums,PR-D
116,Woodblock,PR-D
117,Taiko,PR-D
118,Melo. Tom 1,PR-D
119,Synth Drum,PR-D
120,Reverse Cym.,PR-D
121,Gt.FretNoise,PR-D
122,Breath Noise,PR-D
123,Seashore,PR-D
124,Bird,PR-D
125,Telephone 1,PR-D
126,Helicopter,PR-D
127,Applause,PR-D
128,Gun Shot,PR-D
